City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Snoqualmie,All Residential,3/1/19,3/31/19,603
Kirkland,All Residential,4/1/19,4/30/19,700
Snoqualmie,All Residential,8/1/19,8/31/19,723
Kenmore,All Residential,8/1/19,8/31/19,606
Olympia,Multi-Family (2-4 Unit),7/1/10,7/31/10,125
Tacoma,Multi-Family (2-4 Unit),7/1/10,7/31/10,137
Kenmore,Multi-Family (2-4 Unit),9/1/10,9/30/10,307
Olympia,Multi-Family (2-4 Unit),10/1/10,10/31/10,223
Seattle,Multi-Family (2-4 Unit),1/1/11,1/31/11,550
Tacoma,Multi-Family (2-4 Unit),6/1/11,6/30/11,168
Seattle,Multi-Family (2-4 Unit),8/1/11,8/31/11,375
Olympia,Multi-Family (2-4 Unit),5/1/12,5/31/12,315
Seattle,Multi-Family (2-4 Unit),5/1/12,5/31/12,453
Seattle,Multi-Family (2-4 Unit),6/1/12,6/30/12,426
Olympia,Multi-Family (2-4 Unit),11/1/12,11/30/12,220
Tacoma,Multi-Family (2-4 Unit),4/1/13,4/30/13,188
Olympia,Multi-Family (2-4 Unit),9/1/13,9/30/13,210
Tacoma,Multi-Family (2-4 Unit),9/1/13,9/30/13,205
Olympia,Multi-Family (2-4 Unit),10/1/13,10/31/13,214
Tacoma,Multi-Family (2-4 Unit),10/1/13,10/31/13,263
Tacoma,Multi-Family (2-4 Unit),3/1/14,3/31/14,113
Redmond,Multi-Family (2-4 Unit),4/1/14,4/30/14,565
Olympia,Multi-Family (2-4 Unit),9/1/14,9/30/14,203
Olympia,Multi-Family (2-4 Unit),1/1/15,1/31/15,391
Seattle,Multi-Family (2-4 Unit),7/1/15,7/31/15,630
Seattle,Multi-Family (2-4 Unit),10/1/15,10/31/15,649
Tacoma,Multi-Family (2-4 Unit),12/1/15,12/31/15,305
Tacoma,Multi-Family (2-4 Unit),1/1/16,1/31/16,250
Seattle,Multi-Family (2-4 Unit),3/1/17,3/31/17,966
Tacoma,Multi-Family (2-4 Unit),6/1/17,6/30/17,333
Issaquah,Multi-Family (2-4 Unit),9/1/17,9/30/17,"1,250"
Olympia,Multi-Family (2-4 Unit),2/1/18,2/28/18,318
Tacoma,Multi-Family (2-4 Unit),2/1/18,2/28/18,414
Seattle,Multi-Family (2-4 Unit),3/1/18,3/31/18,"1,255"
Olympia,Multi-Family (2-4 Unit),4/1/18,4/30/18,355
Olympia,Multi-Family (2-4 Unit),6/1/18,6/30/18,399
Issaquah,Multi-Family (2-4 Unit),8/1/18,8/31/18,760
Bellevue,Multi-Family (2-4 Unit),1/1/19,1/31/19,"1,003"
